"","SID","col","value"
"247","SAL4","SAL5",0.51219512195122
"248","SAL5","SAL5",0
"249","SAL6","SAL5",0.391304347826087
"250","SAL7","SAL5",0.475409836065574
"251","SAL8","SAL5",0.586206896551724
"252","SAL9","SAL5",0.581395348837209
"253","NOR4","SAL6",0.785714285714286
"254","NOR5","SAL6",0.82051282051282
"255","NOR6","SAL6",0.79746835443038
"256","NOR7","SAL6",0.780487804878049
"257","NOR8","SAL6",0.794871794871795
"258","NOR9","SAL6",0.780821917808219
"259","PEQ4","SAL6",0.672131147540984
"260","PEQ5","SAL6",0.714285714285714
"261","PEQ6","SAL6",0.730769230769231
"262","PEQ7","SAL6",0.642857142857143
"263","PEQ8","SAL6",0.647058823529412
"264","PEQ9","SAL6",0.666666666666667
"265","SAL4","SAL6",0.459459459459459
"266","SAL5","SAL6",0.391304347826087
"267","SAL6","SAL6",0
"268","SAL7","SAL6",0.508771929824561
"269","SAL8","SAL6",0.444444444444444
"270","SAL9","SAL6",0.538461538461538
"271","NOR4","SAL7",0.818181818181818
"272","NOR5","SAL7",0.763440860215054
"273","NOR6","SAL7",0.765957446808511
"274","NOR7","SAL7",0.752577319587629
"275","NOR8","SAL7",0.741935483870968
"276","NOR9","SAL7",0.75
"277","PEQ4","SAL7",0.736842105263158
"278","PEQ5","SAL7",0.692307692307692
"279","PEQ6","SAL7",0.761194029850746
"280","PEQ7","SAL7",0.633802816901408
"281","PEQ8","SAL7",0.696969696969697
"282","PEQ9","SAL7",0.714285714285714
"283","SAL4","SAL7",0.538461538461538
"284","SAL5","SAL7",0.475409836065574
"285","SAL6","SAL7",0.508771929824561
"286","SAL7","SAL7",0
"287","SAL8","SAL7",0.449275362318841
"288","SAL9","SAL7",0.518518518518518
"289","NOR4","SAL8",0.770833333333333
"290","NOR5","SAL8",0.755555555555556
"291","NOR6","SAL8",0.824175824175824
"292","NOR7","SAL8",0.702127659574468
"293","NOR8","SAL8",0.755555555555556
"294","NOR9","SAL8",0.741176470588235
"295","PEQ4","SAL8",0.808219178082192
"296","PEQ5","SAL8",0.813333333333333
"297","PEQ6","SAL8",0.8125
"298","PEQ7","SAL8",0.764705882352941
"299","PEQ8","SAL8",0.746031746031746
"300","PEQ9","SAL8",0.666666666666667
"301","SAL4","SAL8",0.551020408163265
"302","SAL5","SAL8",0.586206896551724
"303","SAL6","SAL8",0.444444444444444
"304","SAL7","SAL8",0.449275362318841
"305","SAL8","SAL8",0
"306","SAL9","SAL8",0.568627450980392
"307","NOR4","SAL9",0.827160493827161
"308","NOR5","SAL9",0.786666666666667
"309","NOR6","SAL9",0.815789473684211
"310","NOR7","SAL9",0.746835443037975
"311","NOR8","SAL9",0.76
"312","NOR9","SAL9",0.771428571428571
"313","PEQ4","SAL9",0.827586206896552
"314","PEQ5","SAL9",0.8
"315","PEQ6","SAL9",0.755102040816326
"316","PEQ7","SAL9",0.735849056603774
"317","PEQ8","SAL9",0.75
"318","PEQ9","SAL9",0.733333333333333
"319","SAL4","SAL9",0.470588235294118
"320","SAL5","SAL9",0.581395348837209
"321","SAL6","SAL9",0.538461538461538
"322","SAL7","SAL9",0.518518518518518
"323","SAL8","SAL9",0.568627450980392
"324","SAL9","SAL9",0
