"","agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","sample_start_time_datum_cd_reported","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","startDateTime","sample_start_time_datum_cd"
"36","USGS","01189000",2016-06-17,"07:20",NA,NA,"EST","K","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9","MM-47318A","62855",NA,4.08,NA,"AKP01","S",0.05,"DLDQC",NA,NA,NA,"PTNP176A",20160624,NA,"USGSNWQL",2016-06-17 12:20:00,"UTC"
"37","USGS","01189000",2016-06-24,"07:40",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9","L-1820276 FED EX LATE DELIVEY","00605",NA,0.86,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-24 12:40:00,"UTC"
"38","USGS","01189000",2016-06-24,"07:40",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9","L-1820276 FED EX LATE DELIVEY","00608",NA,0.06,NA,"SHC02","S",0.01,"DLDQC",NA,NA,NA,"KONE16189A",20160708,NA,"USGSNWQL",2016-06-24 12:40:00,"UTC"
"39","USGS","01189000",2016-06-24,"07:40",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9","L-1820276 FED EX LATE DELIVEY","00613",NA,0.017,NA,"DZ001","S",0.001,"DLDQC",NA,NA,NA,"KONE16189A",20160708,NA,"USGSNWQL",2016-06-24 12:40:00,"UTC"
"40","USGS","01189000",2016-06-24,"07:40",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9","L-1820276 FED EX LATE DELIVEY","00618",NA,3.2,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-24 12:40:00,"UTC"
"41","USGS","01189000",2016-06-24,"07:40",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9","L-1820276 FED EX LATE DELIVEY","00631",NA,3.22,NA,"RED01","S",0.04,"DLDQC",NA,NA,NA,"KNO316195A",20160713,NA,"USGSNWQL",2016-06-24 12:40:00,"UTC"
"42","USGS","01189000",2016-06-24,"07:40",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9","L-1820276 FED EX LATE DELIVEY","00660",NA,3.15,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-24 12:40:00,"UTC"
"43","USGS","01189000",2016-06-24,"07:40",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9","L-1820276 FED EX LATE DELIVEY","00665",NA,1.11,"d","CL021","S",0.004,"DLDQC",NA,NA,NA,"PELW200E",20160720,NA,"USGSNWQL",2016-06-24 12:40:00,"UTC"
"44","USGS","01189000",2016-06-24,"07:40",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9","L-1820276 FED EX LATE DELIVEY","00671",NA,1.03,"d","PHM01","S",0.004,"DLDQC",NA,NA,NA,"KONE16189A",20160708,NA,"USGSNWQL",2016-06-24 12:40:00,"UTC"
"45","USGS","01189000",2016-06-24,"07:40",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9","L-1820276 FED EX LATE DELIVEY","62855",NA,4.14,NA,"AKP01","S",0.05,"DLDQC",NA,NA,NA,"PTNP187A",20160706,NA,"USGSNWQL",2016-06-24 12:40:00,"UTC"
